요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,개설일자,좌표(X),좌표(Y)
(새)지곡백화점약국,81,약국,340000,충남,340600,서산시,지곡면,31919,"충청남도 서산시 지곡면 충의로 1192, (지곡면)",,2024-03-12,126.4381326,36.8739362
1(일)약국,81,약국,310000,경기,310701,안양만안구,박달동,14009,"경기도 안양시 만안구 박달로 518, (박달동)",031-468-3354,2007-10-10,126.9102181,37.4024396
"1,2,3약국",81,약국,310000,경기,311500,남양주시,오남읍,12048,"경기도 남양주시 오남읍 양지로 47-63, (오남읍)",031-529-8099,2012-12-17,127.2033555,37.6826923
1004 약국,81,약국,310000,경기,311901,고양덕양구,동산동,10598,"경기도 고양시 덕양구 동세로 19, 아카메디 105호 (동산동)",02-381-5052,2018-11-01,126.8863524,37.6445654
100세건강약국,81,약국,310000,경기,310701,안양만안구,안양동,13989,"경기도 안양시 만안구 안양로 408, 1층 (안양동)",031-465-1320,2015-12-28,126.9148390,37.4071533
100세건강약국,81,약국,110000,서울,110001,강남구,세곡동,06376,"서울특별시 강남구 헌릉로571길 7, 강남레체 1층 101호 (세곡동)",,2021-10-28,127.1013669,37.4660449
100세약국,81,약국,220000,인천,220006,인천남동구,간석동,21545,"인천광역시 남동구 남동대로 892, 1층 (간석동)",032-427-7585,2004-10-28,126.7086305,37.4620925
100세약국,81,약국,310000,경기,310100,광명시,광명동,14287,"경기도 광명시 광명로 877, 상가동 제2-1층 4호 (광명동, 한진아파트)",02-2619-0081,2021-10-28,126.8521846,37.4779305
100세약국,81,약국,110000,서울,110013,영등포구,당산동6가,07223,"서울특별시 영등포구 양평로 24, (당산동6가)",02-2678-8217,2002-01-04,126.9037390,37.5332486
100세약국,81,약국,310000,경기,312500,화성시,정남면,18516,"경기도 화성시 정남면 만년로 540, (정남면)",031-353-7575,1999-03-26,126.9836290,37.1694566
100세약국,81,약국,310000,경기,310603,수원팔달구,인계동,16484,"경기도 수원시 팔달구 경수대로 568, (인계동)",031-239-4801,2007-11-09,127.0308268,37.2763011
100세약국,81,약국,330000,충북,330101,청주상당구,서운동,28715,"충청북도 청주시 상당구 상당로 10, 1층 (서운동)",043-223-2627,2001-09-01,127.4916019,36.6290605
100약국,81,약국,320000,강원,320400,원주시,평원동,26430,"강원특별자치도 원주시 평원로 58, (평원동)",033-743-4795,1982-10-02,127.9513226,37.3511466
100평 광장약국,81,약국,310000,경기,310800,의정부시,금오동,11758,"경기도 의정부시 동일로 732, 금오동 근린생활시설 1층 102호 (금오동)",,2021-03-02,127.0492861,37.7519574
123약국,81,약국,250000,대전,250004,대전동구,용운동,34524,"대전광역시 동구 용운로 167, 1층 (용운동)",042-300-0123,2023-06-09,,
123약국,81,약국,220000,인천,220001,인천미추홀구,주안동,22133,"인천광역시 미추홀구 주안로 107, 금강메디컬센터 1층 105,106호 (주안동)",032-422-0320,2024-04-08,126.6817288,37.4642853
123약국,81,약국,240000,광주,240001,광주동구,계림동,61413,"광주광역시 동구 동계로 71, 1층 (계림동)",062-710-9874,2024-12-16,126.9231572,35.1581494
123약국,81,약국,310000,경기,310604,수원영통구,원천동,16501,"경기도 수원시 영통구 월드컵로 153, (원천동)",031-211-1230,2007-06-01,127.0483470,37.2773246
123약국,81,약국,210000,부산,210006,부산서구,아미동1가,49245,"부산광역시 서구 까치고개로 216-1, (아미동1가)",051-241-0123,2006-01-16,129.0194902,35.0996113
13층약국,81,약국,110000,서울,110017,중구,서소문동,04513,"서울특별시 중구 서소문로 116, 유원빌딩 1304호 (서소문동)",070-7718-1316,2020-03-16,126.9740244,37.5627337
152약국,81,약국,110000,서울,110009,마포구,공덕동,04148,"서울특별시 마포구 백범로 152, 201동 14호 (공덕동, 공덕파크자이)",02-717-0152,2024-01-15,,
153약국,81,약국,410000,세종시,410000,세종시,고운동,30063,"세종특별자치시 마음로 78, 세종 스마트큐브Ⅱ 2층 205호 (고운동)",044-864-1531,2016-05-18,127.2337440,36.5055731
153옵티마약국,81,약국,210000,부산,210100,부산기장군,정관읍,46015,"부산광역시 기장군 정관면 정관로 579, 108호 (조은프라자)",051-727-7518,2013-07-26,129.1771724,35.3213769
1898광장약국,81,약국,110000,서울,110017,중구,명동2가,04537,"서울특별시 중구 명동길 74, 카톨릭회관 신관 B113호 (명동2가)",,2023-06-21,126.9872743,37.5633352
1등약국,81,약국,310000,경기,312500,화성시,석우동,18450,"경기도 화성시 동탄중앙로 381-13, 101호 (석우동, 성심제일프라자)",,2012-10-18,127.0790632,37.2164163
1번약국,81,약국,370000,경북,370100,경주시,석장동,38067,"경상북도 경주시 동대로 116, 101호 (석장동)",054-777-0223,2023-08-11,,
1번약국,81,약국,110000,서울,110005,구로구,구로동,08311,"서울특별시 구로구 구로동로 132, (구로동)",851-1155,2009-07-15,,
1번약국,81,약국,310000,경기,310701,안양만안구,안양동,14030,"경기도 안양시 만안구 현충로48번길 57, (안양동)",031-466-0521,2013-06-07,126.9242412,37.3930497
1번약국,81,약국,110000,서울,110004,관악구,봉천동,08788,"서울특별시 관악구 남부순환로 1832, 1층 1호 (봉천동)",882-7583,2014-05-19,126.9535153,37.4807107
1번약국,81,약국,380000,경남,380500,진주시,충무공동,52818,"경상남도 진주시 범골로 9, 1층 103호 (충무공동)",055-752-3006,2024-10-28,128.1288018,35.1657720
1번약국,81,약국,380000,경남,380100,김해시,삼정동,50923,"경상남도 김해시 활천로 37, (삼정동)",,2021-04-27,128.8934057,35.2309961
1번약국,81,약국,380000,경남,381100,양산시,물금읍,50610,"경상남도 양산시 물금읍 화합1길 5, 1층",055-367-1117,2020-01-09,129.0082531,35.3292377
1번약국,81,약국,210000,부산,210003,부산동래구,명륜동,47736,"부산광역시 동래구 충렬대로181번길 21, 명륜빌딩 1층 (명륜동)",070-5157-9690,2024-11-20,129.0797423,35.2046658
1번약국,81,약국,260000,울산,260002,울산동구,전하동,44033,"울산광역시 동구 방어진순환도로 863, 상가동 403,404호 (전하동, 스위첸 웰츠타워 1차)",052-233-0202,2022-04-20,129.4296257,35.5177651
1번출구 새싹약국,81,약국,110000,서울,110022,노원구,월계동,01895,"서울특별시 노원구 화랑로 337, 102호 (월계동)",02-919-7167,2023-07-17,,
1층가까운약국,81,약국,230000,대구,230002,대구동구,신기동,41119,"대구광역시 동구 율하동로23길 2, 1층 (신기동)",,2023-10-10,128.7017482,35.8700234
1층메디컬약국,81,약국,110000,서울,110025,금천구,시흥동,08628,"서울특별시 금천구 시흥대로 214, 비즈메드빌딩 1층 102호 (시흥동)",891-1112,2021-04-22,,
1층바로약국,81,약국,220000,인천,220001,인천미추홀구,주안동,22148,"인천광역시 미추홀구 경인로 372, 포레나 미추홀 201동 1017호 (주안동, 포레나 미추홀)",032-433-2990,2023-12-21,,
1층약국,81,약국,210000,부산,210009,부산해운대구,좌동,48104,"부산광역시 해운대구 해운대로 794, 엘리움 107호 (좌동)",051-930-0617,2018-08-21,129.1757451,35.1688150
1층엔약국,81,약국,110000,서울,110015,은평구,대조동,03396,"서울특별시 은평구 통일로 741-1, (대조동, Das Haus)",02-382-1080,2021-03-05,126.9284830,37.6115730
1층엔약국,81,약국,110000,서울,110001,강남구,신사동,06035,"서울특별시 강남구 강남대로 624, ICT TOWER 1층 일부호 (신사동)",02-518-3014,2020-07-16,127.0195523,37.5174876
1층이화약국,81,약국,110000,서울,110011,성동구,하왕십리동,04701,"서울특별시 성동구 왕십리로 410, L동 128-1호 (하왕십리동, 센트라스)",070-7798-1281,2022-05-19,127.0247865,37.5665508
1층천호약국,81,약국,110000,서울,110002,강동구,성내동,05378,"서울특별시 강동구 천호대로 1006, 브라운스톤천호 105호 (성내동)",02-478-1178,2020-02-14,127.1237896,37.5380133
1층푸른약국,81,약국,110000,서울,110019,중랑구,망우동,02073,"서울특별시 중랑구 망우로 407, 국민은행 1층 102호 (망우동)",02-434-2122,2024-12-26,,
1층호약국,81,약국,110000,서울,110022,노원구,중계동,01699,"서울특별시 노원구 한글비석로 383, 1층 일부호 (중계동, 삼창타워프라자)",02-933-9487,2016-07-12,127.0725471,37.6589524
21C세계로약국,81,약국,110000,서울,110003,강서구,화곡동,07702,"서울특별시 강서구 화곡로 173, 1층 (화곡동)",02-2607-0624,2006-02-07,126.8407584,37.5420388
21세기 동규약국,81,약국,310000,경기,311800,오산시,오산동,18138,"경기도 오산시 대원로 1, (오산동)",031-374-3680,2008-12-16,127.0686410,37.1466082
21세기 정약국,81,약국,310000,경기,310601,수원권선구,세류동,16587,"경기도 수원시 권선구 정조로 523, 1층 (세류동)",031-234-3847,2015-05-27,127.0110436,37.2559647
21세기건강약국,81,약국,240000,광주,240004,광주광산구,운남동,62319,"광주광역시 광산구 임방울대로 166, 1층 (운남동)",062-955-7336,2011-04-14,126.8179902,35.1761523
21세기건강약국,81,약국,240000,광주,240002,광주북구,문흥동,61188,"광주광역시 북구 면앙로32번길 1, (문흥동)",062-261-5627,1996-03-28,126.9158356,35.1794314
21세기건강약국,81,약국,350000,전북,350402,전주덕진구,덕진동2가,54840,"전북특별자치도 전주시 덕진구 송천중앙로 39, (덕진동2가)",063-251-0671,2008-12-02,127.1195627,35.8506548
21세기건강약국,81,약국,260000,울산,260001,울산남구,삼산동,44700,"울산광역시 남구 삼산중로 125, (삼산동)",052-258-6028,2001-09-20,129.3354559,35.5448262
21세기고려약국,81,약국,110000,서울,110012,성북구,안암동5가,02855,"서울특별시 성북구 고려대로 80, (안암동5가)",02-929-9696,2002-05-28,127.0282011,37.5861235
21세기길약국,81,약국,220000,인천,220006,인천남동구,구월동,21565,"인천광역시 남동구 독점로29번길 30, 103,105호 (구월동)",465-0129,2005-04-08,126.7092982,37.4525294
21세기맑은약국,81,약국,220000,인천,220003,인천부평구,삼산동,21344,"인천광역시 부평구 길주로 623, 지하2층 (삼산동)",032-363-2201,2007-12-20,126.7320632,37.5083726
